,song_title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,song_and_artist
9477,what a time (feat. niall horan),Julia Michaels,5WtfUKzXircvW8l5aaVZWT,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861,173307,What A Time (feat. Niall Horan) - Julia Michaels
9478,if the world was ending (feat. julia michaels),JP Saxe,77MdvMx9L4ZQuLhhn3o21h,0.429,0.486,1,-9.971,1,0.10099999999999999,0.866,0.0,0.0982,0.6609999999999999,146.99,209493,If the World Was Ending (feat. Julia Michaels) - JP Saxe
9479,i miss you (feat. julia michaels),Clean Bandit,0Ult84lvFuqNvbyXwyRQ58,0.693,0.624,0,-7.482,0,0.0448,0.299,7.64e-06,0.0955,0.369,105.00200000000001,205987,I Miss You (feat. Julia Michaels) - Clean Bandit
9480,heaven,Julia Michaels,5M5IB1cNzJqbWFEUK4a1MD,0.5539999999999999,0.371,7,-9.104,0,0.0361,0.855,0.0,0.0838,0.245,199.828,191813,Heaven - Julia Michaels
9481,hurt somebody,Noah Kahan,2Zg0aB5oVQlbQE1vzQmIIY,0.638,0.51,1,-6.485,1,0.305,0.344,0.0,0.212,0.44799999999999995,114.57600000000001,167107,Hurt Somebody - Noah Kahan
9482,anxiety (with selena gomez),Julia Michaels,1XJ93XskwJf7PCyIVLbNBt,0.8029999999999999,0.384,7,-6.522,1,0.179,0.573,0.0,0.19399999999999998,0.503,141.92600000000002,210147,Anxiety (with Selena Gomez) - Julia Michaels
9483,little dark age,MGMT,2Y0iGXY6m6immVb2ktbseM,0.705,0.7120000000000001,6,-6.156000000000001,1,0.0385,0.0102,0.0008550000000000001,0.1,0.62,97.512,299960,Little Dark Age - MGMT
9484,idk you yet,Alexander 23,0j1Ia2lQWrcXrQZI4AdJlk,0.648,0.308,1,-11.729000000000001,1,0.04,0.8859999999999999,0.0774,0.124,0.198,76.997,184638,IDK You Yet - Alexander 23
9485,arcade (feat. fletcher),Duncan Laurence,4Ld4kbKo1eOzToQ0P8JA0V,0.446,0.395,0,-9.328,1,0.0365,0.815,0.00216,0.128,0.267,71.944,187453,Arcade (feat. FLETCHER) - Duncan Laurence
9486,bitter,FLETCHER,5Z0AM9HW78XIyZqF2BPasr,0.7240000000000001,0.594,6,-7.126,0,0.102,0.39299999999999996,0.00116,0.0889,0.413,136.002,194750,Bitter - FLETCHER
9487,undrunk,FLETCHER,1Pj5oOFzLYELyyeh1IYRK0,0.442,0.579,5,-6.484,1,0.145,0.489,1.04e-06,0.126,0.546,83.336,183428,Undrunk - FLETCHER
9488,till forever falls apart,Ashe,4x5YzxjrF9wvIIXJV7TveC,0.34600000000000003,0.501,2,-6.939,1,0.0364,0.42100000000000004,0.0,0.0657,0.299,99.855,222927,Till Forever Falls Apart - Ashe
9489,moral of the story (feat. niall horan) - bonus track,Ashe,5v6qYImm5k36GHlFxdEZyv,0.579,0.37,10,-8.9,1,0.0383,0.496,0.0,0.221,0.21600000000000003,119.79899999999999,198515,Moral of the Story (feat. Niall Horan) - Bonus Track - Ashe
9490,this is how you fall in love,Jeremy Zucker,1aEsTgCsv8nOjEgyEoRCpS,0.441,0.20199999999999999,7,-12.499,1,0.0381,0.732,2.6000000000000002e-05,0.126,0.26899999999999996,77.971,174587,this is how you fall in love - Jeremy Zucker
9491,scrawny,Wallows,1pNUmVxDiE8t6P1XxcZAv8,0.639,0.816,6,-5.28,0,0.0485,0.000985,0.0604,0.141,0.802,138.00799999999998,166520,Scrawny - Wallows
9492,better off,Jeremy Zucker,7bdYxWPCs46dQ0XLwySOyv,0.708,0.322,8,-12.46,0,0.0371,0.747,9.240000000000001e-05,0.13699999999999998,0.46,98.89200000000001,193947,better off - Jeremy Zucker
